Modulo;Cenario;Cenario_ID;Tipo;Numero;Passo;Dados_de_teste;Ticket;URL;Resultado_esperado;OK;Observacao;Responsavel;Data
Pre-requisitos;Ambiente;PRE-001;Pre-requisito;1;Backend rodando;;;"http://localhost:8001/api";API respondendo;;;
Pre-requisitos;Ambiente;PRE-001;Pre-requisito;2;Frontend rodando;;;"http://localhost:8000";Aplicação carregando;;;
Pre-requisitos;Ambiente;PRE-001;Pre-requisito;3;Login dev funcionando;;;"/auth/dev-login";Autenticação OK;;;
Pre-requisitos;Ambiente;PRE-001;Pre-requisito;4;Seeds de workflow executados;;WF-TEST-001 a 009;"npm run seed:workflow-test (backend)";Tickets WF-TEST criados;;;
Pre-requisitos;Ambiente;PRE-001;Pre-requisito;5;Ticket popover Produtos criado;;POP-TEST-001;"node scripts/create-desk-test-ticket.mjs";Ticket POP-TEST-001 disponível;;;
Pre-requisitos;Ambiente;PRE-001;Pre-requisito;6;Agentes IA configurados;;;"GET /api/agents/status";OpenAI e thresholds OK;;;
Solicitações Produtos;Alteração Cadastral via Desk;SOL-1.1;Passo;1;Abrir Desk v2 e localizar ticket;;POP-TEST-001;"http://localhost:8000/tickets?desk=v2";Ticket visível na fila Em andamento;;;
Solicitações Produtos;Alteração Cadastral via Desk;SOL-1.1;Passo;2;Clicar em Encaminhar para → Produtos;;POP-TEST-001;;Drawer/popover abre (ProdutosForwardPopover);;;
Solicitações Produtos;Alteração Cadastral via Desk;SOL-1.1;Passo;3;Verificar pré-preenchimento;CPF 901.000.000-10;POP-TEST-001;;CPF e protocolo do ticket preenchidos automaticamente;;;
Solicitações Produtos;Alteração Cadastral via Desk;SOL-1.1;Passo;4;Selecionar Tipo de informação: Telefone;;POP-TEST-001;;Campo disponível;;;
Solicitações Produtos;Alteração Cadastral via Desk;SOL-1.1;Passo;5;Preencher Dado antigo;(11) 98765-4321;POP-TEST-001;;Campo aceito;;;
Solicitações Produtos;Alteração Cadastral via Desk;SOL-1.1;Passo;6;Preencher Dado novo;(11) 91234-5678;POP-TEST-001;;Campo aceito;;;
Solicitações Produtos;Alteração Cadastral via Desk;SOL-1.1;Passo;7;Marcar Fotos verificadas (se aplicável);;POP-TEST-001;;Checkbox funciona;;;
Solicitações Produtos;Alteração Cadastral via Desk;SOL-1.1;Passo;8;Enviar formulário;;POP-TEST-001;;Toast: Solicitação enviada ao time de Produtos.;;;
Solicitações Produtos;Alteração Cadastral via Desk;SOL-1.1;Passo;9;Verificar sidebar de tracking;;POP-TEST-001;;Item aparece com status enviado;;;
Solicitações Produtos;Alteração Cadastral via Desk;SOL-1.1;Passo;10;Fechar popover;;POP-TEST-001;;Drawer fecha; ticket permanece aberto;;;
Solicitações Produtos;Alteração Cadastral via Desk;SOL-1.1;Validação negativa;N1;Enviar sem CPF válido (≠ 11 dígitos);;POP-TEST-001;;Erro: Informe um CPF válido com 11 dígitos.;;;
Solicitações Produtos;Alteração Cadastral via Desk;SOL-1.1;Validação negativa;N2;Enviar sem ticket;;POP-TEST-001;;Erro: Informe o ticket.;;;
Solicitações Produtos;Alteração Cadastral via Desk;SOL-1.1;Validação negativa;N3;Enviar sem dado antigo/novo;;POP-TEST-001;;Erro: Informe o dado antigo e o dado novo.;;;
Solicitações Produtos;Alteração Cadastral standalone;SOL-1.2;Passo;1;Acessar página diretamente;;;"http://localhost:8000/alteracoes-cadastrais";Painel AlteracoesCadastraisPanel carrega;;;
Solicitações Produtos;Alteração Cadastral standalone;SOL-1.2;Passo;2;Preencher CPF e Ticket manualmente;;;"http://localhost:8000/alteracoes-cadastrais";Formulário aceita entrada;;;
Solicitações Produtos;Alteração Cadastral standalone;SOL-1.2;Passo;3;Enviar solicitação completa;;;"http://localhost:8000/alteracoes-cadastrais";Salva em localStorage (velodesk_cadastral_requests);;;
Solicitações Produtos;Alteração Cadastral standalone;SOL-1.2;Passo;4;Alternar abas sem perder dados do ticket;;;"http://localhost:8000/alteracoes-cadastrais";Navegação entre abas OK;;;
Solicitações Produtos;Erros/Bugs;SOL-1.3;Passo;1;Abrir aba Erros/Bugs;;;alteracoes-cadastrais;Aba ativa;;;
Solicitações Produtos;Erros/Bugs;SOL-1.3;Passo;2;Selecionar tipo: App;;;alteracoes-cadastrais;Opções: App / Web / Portal / Outro;;;
Solicitações Produtos;Erros/Bugs;SOL-1.3;Passo;3;Descrever erro;App trava na tela de login após atualização;;alteracoes-cadastrais;Descrição aceita;;;
Solicitações Produtos;Erros/Bugs;SOL-1.3;Passo;4;Informar marca/modelo;Samsung / Galaxy S23;;alteracoes-cadastrais;Campos opcionais aceitos;;;
Solicitações Produtos;Erros/Bugs;SOL-1.3;Passo;5;Anexar 1 imagem OU marcar Cliente Recusou Evidências;;;alteracoes-cadastrais;Obrigatório um dos dois;;;
Solicitações Produtos;Erros/Bugs;SOL-1.3;Passo;6;Enviar;;;alteracoes-cadastrais;Toast: Erro/bug registrado e enviado ao time de Produtos.;;;
Solicitações Produtos;Erros/Bugs;SOL-1.3;Passo;7;Verificar sidebar;;;alteracoes-cadastrais;Subtítulo mostra marca · modelo · contagem de anexos;;;
Solicitações Produtos;Erros/Bugs;SOL-1.3;Validação negativa;N1;Enviar sem descrição;;;alteracoes-cadastrais;Erro: Descreva o erro ou bug.;;;
Solicitações Produtos;Erros/Bugs;SOL-1.3;Validação negativa;N2;Enviar sem anexo e sem Cliente Recusou Evidências;;;alteracoes-cadastrais;Erro: Anexe evidências ou marque Cliente Recusou Evidencias.;;;
Solicitações Produtos;Liberação chave PIX;SOL-1.4;Passo;1;Abrir aba Liberação chave pix;;;alteracoes-cadastrais;Aba ativa;;;
Solicitações Produtos;Liberação chave PIX;SOL-1.4;Passo;2;Selecionar tipo de chave: E-mail;;;alteracoes-cadastrais;Opções: CPF / E-mail / Telefone / Chave aleatória;;;
Solicitações Produtos;Liberação chave PIX;SOL-1.4;Passo;3;Informar chave;cliente.teste@email.com;;alteracoes-cadastrais;Campo aceito;;;
Solicitações Produtos;Liberação chave PIX;SOL-1.4;Passo;4;Observações;Cliente solicitou liberação para recebimento de reembolso;;alteracoes-cadastrais;Campo aceito;;;
Solicitações Produtos;Liberação chave PIX;SOL-1.4;Passo;5;Marcar Urgente;;;alteracoes-cadastrais;Notificação de prioridade;;;
Solicitações Produtos;Liberação chave PIX;SOL-1.4;Passo;6;Enviar;;;alteracoes-cadastrais;Toast: Solicitação de liberação pix enviada ao time de Produtos.;;;
Solicitações Produtos;Liberação chave PIX;SOL-1.4;Validação negativa;N1;Enviar sem chave PIX;;;alteracoes-cadastrais;Erro: Informe a chave pix.;;;
Agentes IA;Reembolso Produto X (workflow automático);IA-2.1;Passo;1;Abrir ticket;Helena Mendes;WF-TEST-001;"http://localhost:8000/tickets?desk=v2";Mensagem do cliente visível;;;
Agentes IA;Reembolso Produto X (workflow automático);IA-2.1;Passo;2;Acionar sugestão IA (Agente 1);;WF-TEST-001;;Resposta empática; sem prometer estorno antes da aprovação;;;
Agentes IA;Reembolso Produto X (workflow automático);IA-2.1;Passo;3;Verificar tabulação sugerida;Solicitação · Produto X · Reembolso · Dentro de 7 dias;WF-TEST-001;;Tabulação correta;;;
Agentes IA;Reembolso Produto X (workflow automático);IA-2.1;Passo;4;Aplicar tabulação e salvar;;WF-TEST-001;;Workflow REEMBOLSO DENTRO DOS 7 DIAS dispara;;;
Agentes IA;Reembolso Produto X (workflow automático);IA-2.1;Passo;5;Verificar stepper de workflow;;WF-TEST-001;;Etapas: Elegibilidade → Aprovação financeiro → Estorno → Retorno;;;
Agentes IA;Reembolso Produto X (workflow automático);IA-2.1;Passo;6;Agente 2 audita resposta;;WF-TEST-001;;Score visível; sem violações de POP;;;
Agentes IA;Reembolso Produto X (workflow automático);IA-2.1;Passo;7;Verificar compose público bloqueado;;WF-TEST-001;;Enquanto workflow ativo; compose restrito (conforme POP);;;
Agentes IA;Cobrança duplicada (escalonar Financeiro);IA-2.2;Passo;1;Abrir ticket;Ricardo Almeida;WF-TEST-002;"http://localhost:8000/tickets?desk=v2";Mensagem sobre cobrança duplicada;;;
Agentes IA;Cobrança duplicada (escalonar Financeiro);IA-2.2;Passo;2;Sugestão IA;;WF-TEST-002;;Tabulação financeira coerente;;;
Agentes IA;Cobrança duplicada (escalonar Financeiro);IA-2.2;Passo;3;Escalonar → Financeiro;;WF-TEST-002;;Workflow escalonar-financeiro inicia;;;
Agentes IA;Cobrança duplicada (escalonar Financeiro);IA-2.2;Passo;4;Verificar fila /workflow;;WF-TEST-002;"http://localhost:8000/workflow";Ticket aparece para aprovação;;;
Agentes IA;Workflow já ativo (UI completa);IA-2.3;Passo;1;Abrir ticket;Camila Souza;WF-TEST-003;"http://localhost:8000/tickets?desk=v2";Stepper mostra etapa ativa;;;
